Episode count,Number of anime,Average score,Average no. of users
0-9,3189,6.28593603010348,30006.425838820946
10-19,2388,6.792567001675042,144008.5443886097
20-29,997,7.022698094282847,156837.3781344032
30-49,391,6.812762148337596,29216.762148337595
50-99,501,6.804131736526946,43127.91417165669
100-199,96,7.075520833333333,134094.51041666666
200-499,26,6.922692307692308,280292.1538461539
500-999,7,6.545714285714285,277271.0
1000+,8,6.01625,6601.375
