Episode count,Number of anime,Average score,Average no. of users
0-9,8912,6.268292190305206,19244.393402154397
10-19,2518,6.785710881652104,138023.4706115965
20-29,1019,7.020755642787046,153818.60647693818
30-49,394,6.811573604060914,29101.362944162436
50-99,503,6.804155069582506,43008.437375745525
100-199,97,7.09577319587629,135423.3505154639
200-499,26,6.922692307692308,280292.1538461539
500-999,7,6.545714285714285,277271.0
1000+,8,6.01625,6601.375
